text,label
"terrible laptop, waste of money",negative
"poor camera, broke quickly",negative
"love laptop, works perfectly",positive
"love jacket, would buy again",positive
"amazing headphones, highly recommend",positive
"fantastic keyboard, works perfectly",positive
"reliable phone, would buy again",positive
"superb blender, very satisfied",positive
"faulty laptop, one star",negative
"great charger, works perfectly",positive
"hate product, very unsatisfied",negative
"disappointing product, waste of money",negative
"love phone, works perfectly",positive
"disappointing camera, very unsatisfied",negative
"awful keyboard, do not recommend",negative
"impressive headphones, five stars",positive
"faulty blender, would not buy again",negative
"useless book, would not buy again",negative
"great product, very satisfied",positive
"cheap camera, waste of money",negative
"disappointing phone, one star",negative
"horrible keyboard, broke quickly",negative
"delightful camera, would buy again",positive
"disappointing laptop, one star",negative
"excellent blender, great value",positive
"excellent book, highly recommend",positive
"cheap headphones, would not buy again",negative
"horrible product, one star",negative
"superb camera, very satisfied",positive
"frustrating jacket, one star",negative
"excellent camera, works perfectly",positive
"delightful headphones, great value",positive
"superb camera, five stars",positive
"excellent blender, would buy again",positive
"horrible product, would not buy again",negative
"cheap jacket, very unsatisfied",negative
"terrible headphones, broke quickly",negative
"fantastic laptop, highly recommend",positive
"great headphones, would buy again",positive
"hate camera, broke quickly",negative
"love book, highly recommend",positive
"love charger, five stars",positive
"superb camera, highly recommend",positive
"perfect camera, great value",positive
"frustrating phone, very unsatisfied",negative
"love phone, five stars",positive
"superb jacket, highly recommend",positive
"excellent laptop, five stars",positive
"frustrating charger, broke quickly",negative
"frustrating phone, do not recommend",negative
"cheap phone, very unsatisfied",negative
"useless blender, would not buy again",negative
"awful product, do not recommend",negative
"perfect camera, five stars",positive
"awful phone, would not buy again",negative
"perfect headphones, very satisfied",positive
"horrible keyboard, do not recommend",negative
"delightful product, very satisfied",positive
"impressive phone, works perfectly",positive
"excellent headphones, great value",positive
"awful charger, very unsatisfied",negative
"impressive headphones, great value",positive
"excellent phone, works perfectly",positive
"horrible blender, broke quickly",negative
"cheap phone, broke quickly",negative
"delightful phone, great value",positive
"great laptop, highly recommend",positive
"frustrating headphones, one star",negative
"excellent jacket, great value",positive
"fantastic jacket, would buy again",positive
"fantastic product, great value",positive
"disappointing book, waste of money",negative
"terrible phone, very unsatisfied",negative
"great product, works perfectly",positive
"great blender, five stars",positive
"disappointing jacket, would not buy again",negative
"horrible charger, very unsatisfied",negative
"faulty book, broke quickly",negative
"horrible laptop, waste of money",negative
"poor book, very unsatisfied",negative
"reliable camera, very satisfied",positive
"superb book, works perfectly",positive
"horrible charger, do not recommend",negative
"awful keyboard, broke quickly",negative
"superb camera, works perfectly",positive
"great headphones, great value",positive
"hate jacket, very unsatisfied",negative
"disappointing blender, would not buy again",negative
"reliable laptop, five stars",positive
"delightful laptop, great value",positive
"amazing product, would buy again",positive
"reliable keyboard, works perfectly",positive
"excellent blender, very satisfied",positive
"frustrating charger, do not recommend",negative
"frustrating book, do not recommend",negative
"cheap laptop, waste of money",negative
"superb headphones, five stars",positive
"cheap keyboard, waste of money",negative
"horrible charger, one star",negative
"impressive phone, great value",positive
"fantastic charger, highly recommend",positive
"impressive blender, highly recommend",positive
"excellent jacket, highly recommend",positive
"hate phone, very unsatisfied",negative
"poor blender, one star",negative
"faulty blender, very unsatisfied",negative
"useless product, one star",negative
"faulty headphones, do not recommend",negative
"excellent phone, very satisfied",positive
"useless product, very unsatisfied",negative
"superb jacket, very satisfied",positive
